Id,saleprice
2658,122515.62852832918
2718,152162.71629114097
2414,236247.99883912574
1989,113458.94970472468
625,186186.1310534985
333,79512.43320517571
1327,98579.0622247947
858,157738.5326393814
95,166777.3231476044
1568,163619.92754623288
2482,145699.12766336475
1364,122181.56799958521
2584,148823.91715723654
818,273795.4886052982
2673,144468.27024701494
2089,120579.79561512062
1297,162458.23191177842
790,116670.9466984784
2616,190997.20098725767
720,193952.47612440685
222,156685.73032404817
557,125360.4028798253
1148,171326.935661527
2766,165703.71421211562
534,177380.393317474
1452,127094.44830844918
630,126523.83726713301
2648,124714.79327021426
125,163027.16328408048
1904,35175.91462383908
1670,96244.4087563699
756,104948.49895321237
717,185501.9746000924
1032,152706.6823980163
852,220983.59853234063
1731,179362.79242404914
2639,114010.91503671643
2071,74831.30093243564
1267,145397.3285614234
1851,194137.68985949398
567,170243.95491896325
2439,208435.29300898671
1898,152240.25799675076
647,166750.09945021567
2256,209134.58314924437
979,94336.25358713981
1444,223823.2934551632
2485,124755.48073399166
157,132355.94372742184
88,114415.21149896781
2003,103991.4443463491
186,211562.09111235186
1425,237122.20550214444
2695,124297.61567653659
738,92141.41512796559
395,158466.93543321465
1353,168212.55486560662
1878,148135.41984172072
390,160376.904732302
1456,230520.11920818553
1103,310992.4698019865
1387,98962.88132413219
2070,145284.26794182256
1199,164435.79233880228
2479,183160.970498015
501,322832.20638695837
2362,87772.8355867597
1718,232231.5094107303
2188,85683.51961836348
1483,160975.37659391772
2557,91413.15478717146
437,350458.85424864903
2224,196039.93690492265
1628,181549.30602242204
397,138849.5602132675
587,191000.42880282013
2182,494799.59229969
971,147837.54670200325
2611,140250.47147222387
1887,82437.93926925315
2399,360162.591083625
2148,196773.23783001213
304,141405.71666147967
1997,134561.65088572647
2817,110683.99827064738
1431,211582.69061829228
427,333933.56865721836
263,131634.40392576598
598,177077.7976541993
2895,217819.41979612957
687,137395.96283909577
1822,134062.7112290687
2191,97648.34800692902
179,115654.41445920596
1009,255772.54272736685
2010,125920.54908649877
1991,141911.43543892298
1411,207624.92846761344
1721,246289.89856547033
1144,197103.89184614594
593,217110.9851867268
575,292202.19401374424
1249,162250.57617369684
1604,126797.80416454242
1064,433194.69440528087
1923,147300.17782761736
1988,114604.25039506474
2325,171813.98748308292
114,193158.44796301794
2700,156519.70623083698
217,116267.385132733
343,187378.89061364037
386,216749.33105160724
2005,93630.50569609272
2908,121896.22757365149
1814,235702.97693024788
2446,438608.9394938316
208,138999.50649086473
1679,100287.9086356712
822,304955.2397283666
6,188680.16487603387
1781,358104.4630285848
2397,317706.9523014734
2340,321778.3399606424
1618,167514.8334164994
2843,161746.69523213332
1061,351920.1648494804
2786,126979.50719277911
1935,133534.556384226
1341,123892.98215415847
521,253593.96794307482
2136,139984.6914021798
996,202710.21192103738
227,143659.90249184152
135,162167.68818057148
